[0.0 ns] clk=1 | rst=1 | x_i=00000000000000000 | y_i=00000000000000000 | theta_i=00000000000000000 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[1.0 ns] clk=0 | rst=1 | x_i=00000000000000000 | y_i=00000000000000000 | theta_i=00000000000000000 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[2.0 ns] clk=1 | rst=1 | x_i=00000000000000000 | y_i=00000000000000000 | theta_i=00000000000000000 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[3.0 ns] clk=0 | rst=1 | x_i=00000000000000000 | y_i=00000000000000000 | theta_i=00000000000000000 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[4.0 ns] clk=1 | rst=1 | x_i=00000000000000000 | y_i=00000000000000000 | theta_i=00000000000000000 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[5.0 ns] clk=0 | rst=0 | x_i=00000000000000000 | y_i=00000000000000000 | theta_i=00000000000000000 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[6.0 ns] clk=1 | rst=0 | x_i=00000000000000000 | y_i=00000000000000000 | theta_i=00000000000000000 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[7.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00000000000000000 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[8.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00000000000000000 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[9.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00000001000111011 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[10.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00000001000111011 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[11.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00000010001110111 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[12.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00000010001110111 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[13.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00000011010110011 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[14.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00000011010110011 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[15.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00000100011101111 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[16.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00000100011101111 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[17.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00000101100101011 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[18.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00000101100101011 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[19.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00000110101100111 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[20.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00000110101100111 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
