[10.0 ns] clk=0 | rst=1 | inst_addr=0000000000 | inst_in=100110000000000000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[30.0 ns] clk=0 | rst=1 | inst_addr=0000000000 | inst_in=100110000000000000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[50.0 ns] clk=0 | rst=0 | inst_addr=0000000000 | inst_in=100110000000000000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[70.0 ns] clk=0 | rst=0 | inst_addr=0000000000 | inst_in=100110000000000000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[90.0 ns] clk=0 | rst=0 | inst_addr=0000000000 | inst_in=100110000000000000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[110.0 ns] clk=0 | rst=0 | inst_addr=0000000000 | inst_in=100110000000000000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[130.0 ns] clk=0 | rst=0 | inst_addr=0000000000 | inst_in=100110000000000000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[150.0 ns] clk=0 | rst=0 | inst_addr=0000000000 | inst_in=100110000000000000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[170.0 ns] clk=0 | rst=0 | inst_addr=0000000001 | inst_in=100110010000000001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[190.0 ns] clk=0 | rst=0 | inst_addr=0000000001 | inst_in=100110010000000001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[210.0 ns] clk=0 | rst=0 | inst_addr=0000000001 | inst_in=100110010000000001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[230.0 ns] clk=0 | rst=0 | inst_addr=0000000001 | inst_in=100110010000000001 | data_addr=0000000001 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[250.0 ns] clk=0 | rst=0 | inst_addr=0000000001 | inst_in=100110010000000001 | data_addr=0000000001 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[270.0 ns] clk=0 | rst=0 | inst_addr=0000000010 | inst_in=100110100000000010 | data_addr=0000000001 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[290.0 ns] clk=0 | rst=0 | inst_addr=0000000010 | inst_in=100110100000000010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[310.0 ns] clk=0 | rst=0 | inst_addr=0000000010 | inst_in=100110100000000010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[330.0 ns] clk=0 | rst=0 | inst_addr=0000000010 | inst_in=100110100000000010 | data_addr=0000000010 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[350.0 ns] clk=0 | rst=0 | inst_addr=0000000010 | inst_in=100110100000000010 | data_addr=0000000010 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[370.0 ns] clk=0 | rst=0 | inst_addr=0000000011 | inst_in=000000000000000001 | data_addr=0000000010 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[390.0 ns] clk=0 | rst=0 | inst_addr=0000000011 | inst_in=000000000000000001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[410.0 ns] clk=0 | rst=0 | inst_addr=0000000011 | inst_in=000000000000000001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[430.0 ns] clk=0 | rst=0 | inst_addr=0000000011 | inst_in=000000000000000001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[450.0 ns] clk=0 | rst=0 | inst_addr=0000000011 | inst_in=000000000000000001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[470.0 ns] clk=0 | rst=0 | inst_addr=0000000100 | inst_in=000000000000001000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[490.0 ns] clk=0 | rst=0 | inst_addr=0000000100 | inst_in=000000000000001000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[510.0 ns] clk=0 | rst=0 | inst_addr=0000000100 | inst_in=000000000000001000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[530.0 ns] clk=0 | rst=0 | inst_addr=0000000100 | inst_in=000000000000001000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[550.0 ns] clk=0 | rst=0 | inst_addr=0000000100 | inst_in=000000000000001000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[570.0 ns] clk=0 | rst=0 | inst_addr=0000000101 | inst_in=101001000000000000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[590.0 ns] clk=0 | rst=0 | inst_addr=0000000101 | inst_in=101001000000000000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[610.0 ns] clk=0 | rst=0 | inst_addr=0000000101 | inst_in=101001000000000000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=XXXXXXXXXXXXXXXX | done=0
[630.0 ns] clk=0 | rst=0 | inst_addr=0000000101 | inst_in=101001000000000000 | data_addr=0000000000 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[650.0 ns] clk=0 | rst=0 | inst_addr=0000000101 | inst_in=101001000000000000 | data_addr=0000000000 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[670.0 ns] clk=0 | rst=0 | inst_addr=0000000110 | inst_in=101100010100100010 | data_addr=0000000000 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[690.0 ns] clk=0 | rst=0 | inst_addr=0000000110 | inst_in=101100010100100010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[710.0 ns] clk=0 | rst=0 | inst_addr=0000000110 | inst_in=101100010100100010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[730.0 ns] clk=0 | rst=0 | inst_addr=0000000110 | inst_in=101100010100100010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[750.0 ns] clk=0 | rst=0 | inst_addr=0000000110 | inst_in=101100010100100010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[770.0 ns] clk=0 | rst=0 | inst_addr=0000000111 | inst_in=000000000000000110 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[790.0 ns] clk=0 | rst=0 | inst_addr=0000000111 | inst_in=000000000000000110 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[810.0 ns] clk=0 | rst=0 | inst_addr=0000000111 | inst_in=000000000000000110 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[830.0 ns] clk=0 | rst=0 | inst_addr=0000000111 | inst_in=000000000000000110 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[850.0 ns] clk=0 | rst=0 | inst_addr=0000000111 | inst_in=000000000000000110 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[870.0 ns] clk=0 | rst=0 | inst_addr=0000001000 | inst_in=101001010000000011 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[890.0 ns] clk=0 | rst=0 | inst_addr=0000001000 | inst_in=101001010000000011 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[910.0 ns] clk=0 | rst=0 | inst_addr=0000001000 | inst_in=101001010000000011 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[930.0 ns] clk=0 | rst=0 | inst_addr=0000001000 | inst_in=101001010000000011 | data_addr=0000000011 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0000000100100010 | done=0
[950.0 ns] clk=0 | rst=0 | inst_addr=0000001000 | inst_in=101001010000000011 | data_addr=0000000011 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0000000100100010 | done=0
[970.0 ns] clk=0 | rst=0 | inst_addr=0000001001 | inst_in=101001100000000100 | data_addr=0000000011 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0000000100100010 | done=0
[990.0 ns] clk=0 | rst=0 | inst_addr=0000001001 | inst_in=101001100000000100 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000100100010 | done=0
[1010.0 ns] clk=0 | rst=0 | inst_addr=0000001001 | inst_in=101001100000000100 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000100100010 | done=0
[1030.0 ns] clk=0 | rst=0 | inst_addr=0000001001 | inst_in=101001100000000100 | data_addr=0000000100 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1050.0 ns] clk=0 | rst=0 | inst_addr=0000001001 | inst_in=101001100000000100 | data_addr=0000000100 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1070.0 ns] clk=0 | rst=0 | inst_addr=0000001010 | inst_in=101001000000000101 | data_addr=0000000100 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1090.0 ns] clk=0 | rst=0 | inst_addr=0000001010 | inst_in=101001000000000101 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1110.0 ns] clk=0 | rst=0 | inst_addr=0000001010 | inst_in=101001000000000101 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1130.0 ns] clk=0 | rst=0 | inst_addr=0000001010 | inst_in=101001000000000101 | data_addr=0000000101 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1150.0 ns] clk=0 | rst=0 | inst_addr=0000001010 | inst_in=101001000000000101 | data_addr=0000000101 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1170.0 ns] clk=0 | rst=0 | inst_addr=0000001011 | inst_in=100111010000000010 | data_addr=0000000101 | data_R=1 | data_W=1 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1190.0 ns] clk=0 | rst=0 | inst_addr=0000001011 | inst_in=100111010000000010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1210.0 ns] clk=0 | rst=0 | inst_addr=0000001011 | inst_in=100111010000000010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1230.0 ns] clk=0 | rst=0 | inst_addr=0000001011 | inst_in=100111010000000010 | data_addr=0000000010 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1250.0 ns] clk=0 | rst=0 | inst_addr=0000001011 | inst_in=100111010000000010 | data_addr=0000000010 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1270.0 ns] clk=0 | rst=0 | inst_addr=0000001100 | inst_in=100111100000000011 | data_addr=0000000010 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1290.0 ns] clk=0 | rst=0 | inst_addr=0000001100 | inst_in=100111100000000011 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1310.0 ns] clk=0 | rst=0 | inst_addr=0000001100 | inst_in=100111100000000011 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1330.0 ns] clk=0 | rst=0 | inst_addr=0000001100 | inst_in=100111100000000011 | data_addr=0000000011 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1350.0 ns] clk=0 | rst=0 | inst_addr=0000001100 | inst_in=100111100000000011 | data_addr=0000000011 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1370.0 ns] clk=0 | rst=0 | inst_addr=0000001101 | inst_in=100111000000000100 | data_addr=0000000011 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1390.0 ns] clk=0 | rst=0 | inst_addr=0000001101 | inst_in=100111000000000100 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1410.0 ns] clk=0 | rst=0 | inst_addr=0000001101 | inst_in=100111000000000100 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1430.0 ns] clk=0 | rst=0 | inst_addr=0000001101 | inst_in=100111000000000100 | data_addr=0000000100 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1450.0 ns] clk=0 | rst=0 | inst_addr=0000001101 | inst_in=100111000000000100 | data_addr=0000000100 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1470.0 ns] clk=0 | rst=0 | inst_addr=0000001110 | inst_in=101101010001011010 | data_addr=0000000100 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1490.0 ns] clk=0 | rst=0 | inst_addr=0000001110 | inst_in=101101010001011010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1510.0 ns] clk=0 | rst=0 | inst_addr=0000001110 | inst_in=101101010001011010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1530.0 ns] clk=0 | rst=0 | inst_addr=0000001110 | inst_in=101101010001011010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1550.0 ns] clk=0 | rst=0 | inst_addr=0000001110 | inst_in=101101010001011010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1570.0 ns] clk=0 | rst=0 | inst_addr=0000001111 | inst_in=100101000000000010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1590.0 ns] clk=0 | rst=0 | inst_addr=0000001111 | inst_in=100101000000000010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1610.0 ns] clk=0 | rst=0 | inst_addr=0000001111 | inst_in=100101000000000010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1630.0 ns] clk=0 | rst=0 | inst_addr=0000001111 | inst_in=100101000000000010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1650.0 ns] clk=0 | rst=0 | inst_addr=0000001111 | inst_in=100101000000000010 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1670.0 ns] clk=0 | rst=0 | inst_addr=0000010000 | inst_in=000001000000000001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1690.0 ns] clk=0 | rst=0 | inst_addr=0000010000 | inst_in=000001000000000001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1710.0 ns] clk=0 | rst=0 | inst_addr=0000010000 | inst_in=000001000000000001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1730.0 ns] clk=0 | rst=0 | inst_addr=0000010000 | inst_in=000001000000000001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1750.0 ns] clk=0 | rst=0 | inst_addr=0000010000 | inst_in=000001000000000001 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1770.0 ns] clk=0 | rst=0 | inst_addr=0000010001 | inst_in=000001000000001000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1790.0 ns] clk=0 | rst=0 | inst_addr=0000010001 | inst_in=000001000000001000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1810.0 ns] clk=0 | rst=0 | inst_addr=0000010001 | inst_in=000001000000001000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1830.0 ns] clk=0 | rst=0 | inst_addr=0000010001 | inst_in=000001000000001000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
[1850.0 ns] clk=0 | rst=0 | inst_addr=0000010001 | inst_in=000001000000001000 | data_addr=0000000000 | data_R=0 | data_W=0 | data_in=0000000000000000 | data_out=0000000000000000 | done=0
