[34.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00001110100001010 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[35.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00001111101000110 | x_o=00000000000000000 | y_o=00000000000000000 | theta_o=00000000000000000
[36.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00001111101000110 | x_o=00111111111111101 | y_o=00000000000000010 | theta_o=00000000000000000
[37.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00010000110000010 | x_o=00111111111111101 | y_o=00000000000000010 | theta_o=00000000000000000
[38.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00010000110000010 | x_o=00111111111110101 | y_o=00000001000111110 | theta_o=11111111111111111
[39.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00010001110111110 | x_o=00111111111110101 | y_o=00000001000111110 | theta_o=11111111111111111
[40.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00010001110111110 | x_o=00111111111100111 | y_o=00000010001111010 | theta_o=11111111111111111
[41.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00010010111111010 | x_o=00111111111100111 | y_o=00000010001111010 | theta_o=11111111111111111
[42.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00010010111111010 | x_o=00111111111001110 | y_o=00000011010110010 | theta_o=11111111111111111
[43.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00010100000110110 | x_o=00111111111001110 | y_o=00000011010110010 | theta_o=11111111111111111
[44.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00010100000110110 | x_o=00111111110101101 | y_o=00000100011110000 | theta_o=11111111111111111
[45.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00010101001110010 | x_o=00111111110101101 | y_o=00000100011110000 | theta_o=11111111111111111
[46.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00010101001110010 | x_o=00111111101111111 | y_o=00000101100101001 | theta_o=11111111111111111
[47.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00010110010101110 | x_o=00111111101111111 | y_o=00000101100101001 | theta_o=11111111111111111
[48.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00010110010101110 | x_o=00111111101001001 | y_o=00000110101100001 | theta_o=11111111111111111
[49.0 ns] clk=0 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00010111011101010 | x_o=00111111101001001 | y_o=00000110101100001 | theta_o=11111111111111111
[50.0 ns] clk=1 | rst=0 | x_i=00100110110111000 | y_i=00000000000000000 | theta_i=00010111011101010 | x_o=00111111100001010 | y_o=00000111110011001 | theta_o=11111111111111111
